category,revenue,units,baskets,basket_penetration
Personal Care,14954005.08,70993,24234,0.36746019711902955
Fresh Food,12949545.76,105530,33317,0.505185746777862
Pantry,12009933.27,103672,36231,0.5493707354056103
Coffee & Tea,8876250.6,45229,17103,0.2593328278999242
Alcohol,8677366.75,15131,9271,0.1405761940864291
Electronics,8382630.12,14052,8351,0.1266262319939348
Baby,8054466.08,23246,8545,0.12956785443517815
Dairy,7999030.55,82194,31601,0.4791660348749052
Household,7971656.23,53297,22158,0.33598180439727066
Pet,7867436.24,22086,8676,0.13155420773313117
Health,6673942.13,21347,12033,0.18245640636846094
Snacks,3710938.6,56031,22995,0.3486732373009856
Bakery,2432774.35,47898,21484,0.3257619408642911
Beverages,2207184.33,40617,18372,0.27857467778620165
