customer_id,recency,frequency,monetary,avg_order_value,tenure_days,basket_depth,items_per_basket,discount_ratio,category_breadth,channel_diversity
C10001,180,7,7401.33,1057.3328571428572,386,9.714285714285714,5.0,0.039532985464516474,11,1
C10002,4,8,3282.67,410.33375,295,6.125,3.125,0.09318508287292818,10,1
C10003,154,4,3110.29,777.5725,411,3.25,1.75,0.0,5,2
C10004,10,6,2507.13,417.855,286,4.666666666666667,2.0,0.11306664213900113,6,3
C10005,4,12,6843.47,570.2891666666667,520,7.25,3.75,0.07718706343684094,13,2
C10006,81,12,7232.42,602.7016666666667,605,5.666666666666667,2.8333333333333335,0.06902845785899277,11,1
C10007,1,5,9399.24,1879.848,191,10.4,4.6,0.0981200038764785,12,2
C10008,58,2,3039.52,1519.76,87,6.0,4.0,0.02133756628748241,6,1
C10009,34,4,1905.1,476.275,207,4.0,2.0,0.09960110405323656,7,1
C10010,119,15,11237.07,749.138,460,7.8,4.666666666666667,0.0869389284010846,13,2
C10011,13,18,18344.87,1019.1594444444444,534,7.611111111111111,3.6666666666666665,0.01977927912523831,13,3
C10012,59,8,4474.58,559.3225,328,5.5,3.125,0.036060121026202235,10,2
C10013,126,21,38023.81,1810.657619047619,617,10.0,5.285714285714286,0.027575522216598765,14,3
C10014,3,32,45342.68,1416.95875,356,9.5,4.71875,0.04250142803294665,14,3
C10015,80,16,7963.99,497.749375,500,5.0625,2.6875,0.03905908756349771,10,2
C10016,146,24,29553.61,1231.4004166666666,663,9.291666666666666,4.75,0.10925311180808271,14,3
C10017,12,6,8475.89,1412.6483333333333,135,8.333333333333334,4.833333333333333,0.012022338189748726,10,2
C10018,0,105,279107.85,2658.1699999999996,729,15.81904761904762,8.266666666666667,0.02276850334570705,14,3
C10019,110,3,1333.16,444.3866666666667,134,7.666666666666667,3.6666666666666665,0.004354028036057028,7,1
C10020,47,12,7060.72,588.3933333333333,610,6.5,3.5,0.014291318411467677,12,3
C10021,57,40,48212.19,1205.30475,700,8.95,4.8,0.0,14,3
C10022,37,15,30265.18,2017.6786666666667,410,12.866666666666667,6.466666666666667,0.027161527191420943,13,3
C10023,0,59,143527.77,2432.67406779661,435,15.016949152542374,8.016949152542374,0.04019205551819233,14,3
C10024,115,22,25318.21,1150.8277272727273,675,7.818181818181818,4.454545454545454,0.023698954104051283,14,3
C10025,103,25,29982.52,1199.3008,603,8.88,4.88,0.05343297444894256,13,3
C10026,3,12,10139.85,844.9875000000001,456,9.166666666666666,4.833333333333333,0.054169643806585094,12,2
C10027,45,8,6023.389999999999,752.9237499999999,319,7.125,4.25,0.019593832451410127,11,2
C10028,271,6,2247.54,374.59,509,7.166666666666667,3.1666666666666665,0.048124446778503874,8,2
C10029,241,5,7628.9,1525.78,513,11.0,5.4,0.08639101156965807,11,1
C10030,36,19,31665.52,1666.6063157894737,607,13.157894736842104,7.315789473684211,0.047453857244661515,14,2
C10031,39,3,1629.8899999999999,543.2966666666666,77,6.666666666666667,4.666666666666667,0.06944254133552571,8,2
C10032,16,34,53955.32,1586.9211764705883,722,12.088235294117647,6.205882352941177,0.01757770749462407,14,3
C10033,17,46,124023.26,2696.1578260869564,509,11.195652173913043,6.1521739130434785,0.015353476587353445,14,3
C10034,340,4,7447.43,1861.8575,388,11.75,5.5,0.10685678993098238,11,2
C10035,14,7,5522.29,788.8985714285715,76,6.428571428571429,3.5714285714285716,0.03659255692563206,9,1
C10036,4,10,3870.42,387.04200000000003,503,3.3,2.1,0.04057886230454225,7,1
C10037,116,22,33497.38,1522.6081818181817,632,10.5,5.909090909090909,0.044241389296663575,13,3
C10038,147,19,23848.579999999998,1255.1884210526314,569,8.631578947368421,4.684210526315789,0.00573622216468907,12,2
C10039,30,5,1101.6100000000001,220.32200000000003,328,3.4,2.2,0.041661591996520225,6,1
C10040,141,3,1691.1399999999999,563.7133333333333,305,4.666666666666667,2.0,0.04920023613414668,4,1
C10041,261,4,2030.66,507.665,678,8.0,4.0,0.024621503227789734,8,1
C10042,8,13,13572.07,1044.0053846153846,342,8.538461538461538,4.538461538461538,0.035305147500456685,13,1
C10043,135,10,6192.11,619.211,557,6.3,3.7,0.06634952466394758,11,3
C10044,1,88,272611.74,3097.8606818181815,649,15.693181818181818,8.5,0.018132786527200944,14,3
C10045,108,33,22193.04,672.5163636363636,717,6.2727272727272725,3.4545454545454546,0.024914224855877104,14,3
C10046,21,4,2943.4300000000003,735.8575000000001,245,5.5,2.5,0.07870981877367053,7,1
C10047,1,24,16187.699999999999,674.4875,482,6.166666666666667,3.125,0.009921155529296491,12,1
C10048,266,9,7250.71,805.6344444444444,405,6.333333333333333,3.3333333333333335,0.06694676969997233,12,2
C10049,4,12,12128.52,1010.71,191,5.916666666666667,3.5,0.015181693948028053,14,3
C10050,9,71,137909.39,1942.3857746478875,615,9.690140845070422,5.183098591549296,0.0,14,2
C10051,106,15,21077.239999999998,1405.1493333333333,478,9.466666666666667,5.266666666666667,0.03223030792237912,13,3
C10052,19,69,206574.56,2993.8342028985508,580,15.0,8.18840579710145,0.010537445399823953,14,3
C10053,8,7,3672.84,524.6914285714286,478,4.857142857142857,2.4285714285714284,0.06839822447685479,7,1
C10054,37,9,4717.91,524.2122222222222,551,3.888888888888889,2.111111111111111,0.10171321295019917,9,3
C10055,15,63,134374.63,2132.930634920635,556,11.238095238095237,5.904761904761905,0.007065574567567091,14,3
C10056,4,8,2745.06,343.1325,304,5.625,3.0,0.04427902960755369,8,1
C10057,7,6,9796.55,1632.7583333333332,134,13.0,6.833333333333333,0.011218547190568952,13,2
C10058,3,39,74855.47,1919.3710256410257,559,14.282051282051283,7.871794871794871,0.014564553613907622,14,3
C10059,6,65,151011.47,2323.2533846153847,472,13.246153846153845,7.184615384615385,0.02648871286505754,14,3
C10060,4,52,128674.38,2474.5073076923077,479,12.423076923076923,6.865384615384615,0.00155375821864693,14,3
C10061,117,3,3162.63,1054.21,178,9.666666666666666,5.0,0.04941058364542443,10,1
C10062,63,11,5005.1,455.00909090909096,460,3.1818181818181817,1.9090909090909092,0.024529522740383867,11,3
C10063,243,6,7914.48,1319.08,376,6.666666666666667,3.0,0.00811357501109131,8,1
C10064,78,9,4269.52,474.3911111111112,277,4.666666666666667,2.2222222222222223,0.06185014282575259,6,3
C10065,13,19,12189.94,641.5757894736843,566,7.947368421052632,4.368421052631579,0.08176753463538684,14,3
C10066,5,95,183408.79,1930.6188421052632,698,11.810526315789474,6.431578947368421,0.007197473357466913,14,3
C10067,10,43,83776.93,1948.3006976744184,715,15.162790697674419,8.093023255813954,0.0,14,3
C10068,6,66,157844.1,2391.577272727273,527,13.106060606060606,6.803030303030303,0.006491375443728173,14,3
C10069,212,21,22817.28,1086.5371428571427,667,9.380952380952381,5.0,0.04314175435418208,12,3
C10070,48,6,4160.04,693.34,577,5.333333333333333,2.5,0.09575552594569803,8,1
C10071,10,7,3027.46,432.4942857142857,493,5.714285714285714,3.2857142857142856,0.06941016269783941,8,1
C10072,24,6,5605.549999999999,934.2583333333332,127,5.333333333333333,3.1666666666666665,0.006668226071115931,10,1
C10073,86,17,9496.37,558.61,652,4.352941176470588,2.235294117647059,0.04614313723914598,12,2
C10074,99,16,13181.01,823.813125,634,6.4375,3.5,0.03414384291897762,14,2
C10075,249,18,17706.01,983.6672222222221,598,9.38888888888889,4.833333333333333,0.044927644113033544,14,3
C10076,45,7,11397.1,1628.1571428571428,232,7.0,4.142857142857143,0.04063038204411192,10,2
C10077,20,39,58383.45,1497.0115384615383,723,11.256410256410257,6.282051282051282,0.02999107637878753,14,2
C10078,20,32,40821.07,1275.6584375,549,8.625,4.9375,0.023561405422369185,14,2
C10079,189,21,25320.58,1205.7419047619048,626,8.523809523809524,4.666666666666667,0.042574221485473324,14,3
C10080,10,15,5037.8,335.85333333333335,545,3.466666666666667,2.066666666666667,0.06147770036141436,11,3
C10081,1,18,21970.79,1220.5994444444445,359,8.277777777777779,4.333333333333333,0.03707162842557011,14,3
C10082,65,15,6052.25,403.48333333333335,513,4.066666666666666,2.2666666666666666,0.025750858791221173,11,3
C10083,213,6,2544.54,424.09,647,6.5,3.8333333333333335,0.050218731803454916,8,1
C10084,12,76,189930.59,2499.0867105263155,638,13.407894736842104,7.144736842105263,0.0251072722572867,14,3
C10085,3,6,3895.15,649.1916666666667,291,4.666666666666667,2.3333333333333335,0.011719364480100676,5,2
C10086,246,3,1109.51,369.83666666666664,283,5.0,2.6666666666666665,0.0599842414280994,6,1
C10087,49,18,31471.53,1748.4183333333333,415,11.666666666666666,6.555555555555555,0.0157632842823443,14,3
C10088,29,15,17794.46,1186.2973333333332,378,7.133333333333334,4.133333333333334,0.029646970547160482,13,1
C10089,13,10,12014.08,1201.408,199,8.4,4.2,0.03962883588346125,13,3
C10090,52,3,2092.99,697.6633333333333,83,5.0,2.6666666666666665,0.03042614202263431,7,1
C10091,22,18,22849.43,1269.4127777777778,360,9.222222222222221,5.111111111111111,0.006123043731676976,13,1
C10092,0,46,143021.18,3109.1560869565214,489,15.543478260869565,8.282608695652174,0.019157475430104334,14,3
C10093,17,25,42745.03,1709.8011999999999,430,14.44,7.28,0.04355047597566957,14,3
C10094,11,7,2844.26,406.3228571428572,113,4.857142857142857,2.142857142857143,0.09346005883684091,8,2
C10095,225,3,1709.1399999999999,569.7133333333333,468,9.666666666666666,5.0,0.0600599444551379,10,2
C10096,3,6,3878.72,646.4533333333333,263,6.666666666666667,3.3333333333333335,0.02870522243229369,10,2
C10097,3,18,18798.77,1044.3761111111112,358,8.0,4.055555555555555,0.02362362175197275,13,3
C10098,80,4,1276.66,319.165,266,3.75,2.5,0.019883920894239036,6,1
C10099,2,5,8562.34,1712.468,129,6.6,4.0,0.04272890805889187,10,1
C10100,1,21,17830.95,849.0928571428572,360,6.095238095238095,3.238095238095238,0.03894258055231716,11,3
C10101,2,26,32436.4,1247.5538461538463,498,9.576923076923077,5.038461538461538,0.008981263878551901,13,3
C10102,23,25,20442.09,817.6836,486,7.04,3.44,0.0,13,3
C10103,3,106,260148.52,2454.2313207547168,721,14.547169811320755,7.6415094339622645,0.016723766180683924,14,3
C10104,49,6,6148.16,1024.6933333333334,309,6.333333333333333,3.1666666666666665,0.02409694014415942,10,3
C10105,36,16,16304.15,1019.009375,571,8.3125,4.4375,0.031504907772838195,13,3
C10106,4,37,64817.77,1751.8316216216215,485,15.81081081081081,8.432432432432432,0.008948363546515131,14,3
C10107,11,6,3533.7200000000003,588.9533333333334,213,7.0,3.6666666666666665,0.023445790590732225,11,1
C10108,82,13,4331.03,333.1561538461538,601,5.076923076923077,2.6153846153846154,0.05485553421787709,9,3
C10109,167,16,27012.2,1688.2625,591,9.6875,5.5,0.023800205053925137,14,2
C10110,5,4,3512.31,878.0775,36,4.0,2.0,0.06770487712946398,3,2
C10111,10,75,255590.71,3407.876133333333,557,17.586666666666666,9.2,0.0,14,3
C10112,9,11,9839.03,894.4572727272728,178,5.818181818181818,3.6363636363636362,0.013722042678770478,12,2
C10113,31,21,39438.6,1878.0285714285715,424,12.761904761904763,6.666666666666667,0.04321293901503233,14,2
C10114,0,5,9659.06,1931.812,99,12.4,6.4,0.023387396022595718,12,3
C10115,63,16,6912.13,432.008125,661,5.5,2.25,0.057248696444426865,11,3
C10116,186,13,11132.93,856.3792307692308,449,5.384615384615385,3.1538461538461537,0.03387741890133998,13,2
C10117,26,16,13855.91,865.994375,542,8.6875,4.0,0.03879329481821865,12,3
C10118,29,8,7782.3,972.7875,505,9.375,4.875,0.05063800717300608,10,3
C10119,7,63,185754.14,2948.4784126984127,699,14.571428571428571,7.857142857142857,0.02102243561027284,14,3
C10120,7,66,220944.82,3347.648787878788,449,16.575757575757574,8.530303030303031,0.02792556608219697,14,3
C10121,93,3,2544.06,848.02,115,8.0,4.333333333333333,0.022834557962135734,7,1
C10122,17,14,5250.09,375.00642857142856,416,4.0,2.142857142857143,0.09639960138997176,9,3
C10123,8,45,57095.479999999996,1268.7884444444444,671,9.28888888888889,5.155555555555556,0.0245116405818198,14,3
C10124,13,83,266640.5,3212.5361445783133,528,17.397590361445783,9.55421686746988,0.0,14,3
