customer_id,churn,recency,frequency,monetary,avg_order_value,std_order_value,tenure_days,basket_depth,items_per_basket,channel_diversity,store_diversity,gap_mean,gap_std,gap_max,recency_vs_gap,n_tx_30d,spend_30d,n_tx_90d,spend_90d,n_tx_180d,spend_180d,n_tx_365d,spend_365d,trend_90_over_prev90,trend_180_over_prev180,discount_ratio,category_breadth,n_tickets,avg_satisfaction,n_unresolved_tickets,age,days_since_signup,marketing_optin,has_mobile_app,gender,region,membership_tier,income_bracket,preferred_channel,city_tier,has_purchase_history
C10001,1,89.0,7.0,7401.33,1057.3328571428572,499.71953629725425,295.0,9.714285714285714,5.0,1.0,1.0,34.333333333333336,29.991109793848352,83.0,2.5922330097087376,0.0,0.0,1.0,1876.84,2.0,3403.37,7.0,7401.33,0.5,0.3333333333333333,0.039532985464516474,11.0,0.0,,0.0,42.0,308.0,1.0,1.0,Male,South,Gold,>120k,Mobile App,3.0,1
C10002,0,1.0,7.0,3045.75,435.10714285714283,259.40146894433,204.0,6.0,3.142857142857143,1.0,7.0,33.833333333333336,29.654117195874615,72.0,0.029556650246305417,1.0,264.23,5.0,1867.3400000000001,6.0,2664.2200000000003,7.0,3045.75,2.5,3.0,0.0949382510608456,10.0,1.0,4.0,0.0,36.0,264.0,1.0,0.0,Female,East,Silver,20-40k,In-Store,1.0,1
C10003,1,63.0,4.0,3110.29,777.5725,688.6551961310779,320.0,3.25,1.75,2.0,4.0,85.66666666666667,7.234178138070236,94.0,0.735408560311284,0.0,0.0,1.0,1716.95,2.0,2322.13,4.0,3110.29,0.5,0.6666666666666666,0.0,5.0,0.0,,0.0,35.0,380.0,0.0,0.0,Female,Northeast,Bronze,70-120k,In-Store,2.0,1
C10004,0,1.0,5.0,2206.65,441.33000000000004,526.2635576875906,195.0,3.6,1.8,3.0,3.0,48.5,23.53012253828413,77.0,0.020618556701030927,2.0,156.63,3.0,1404.3400000000001,4.0,2112.03,5.0,2206.65,1.5,2.0,0.11947088046926438,5.0,0.0,,0.0,29.0,196.0,0.0,0.0,Male,Bangkok,Bronze,20-40k,Online Web,1.0,1
C10005,0,34.0,11.0,6578.14,598.0127272727273,417.9111862367628,429.0,7.545454545454546,3.8181818181818183,2.0,1.0,39.5,50.85764445980565,137.0,0.8607594936708861,0.0,0.0,1.0,436.26,2.0,487.12,7.0,4532.36,0.5,0.3333333333333333,0.07783299571729972,13.0,2.0,3.0,2.0,43.0,443.0,0.0,1.0,Male,Bangkok,Bronze,40-70k,Online Web,1.0,1
C10006,0,1.0,11.0,6745.38,613.2163636363637,714.7325942794652,514.0,6.090909090909091,3.0,1.0,1.0,51.3,50.61631269769767,174.0,0.019493177387914232,2.0,602.01,4.0,1603.7199999999998,5.0,1755.6299999999999,7.0,3107.24,2.0,1.6666666666666667,0.07364549744288375,11.0,0.0,,0.0,36.0,529.0,0.0,1.0,Male,Central,Bronze,<20k,Mobile App,2.0,1
C10007,0,9.0,4.0,6800.87,1700.2175,424.9431577183784,100.0,11.0,4.75,2.0,2.0,30.333333333333332,11.590225767142474,38.0,0.2967032967032967,1.0,1912.91,3.0,4672.0,4.0,6800.87,4.0,6800.87,1.5,4.0,0.1051663454010776,11.0,0.0,,0.0,18.0,101.0,0.0,0.0,Female,North,Bronze,70-120k,Mobile App,2.0,1
C10008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
C10009,0,89.0,2.0,771.43,385.715,265.7802258445876,116.0,3.0,2.0,1.0,2.0,27.0,,27.0,3.2962962962962963,0.0,0.0,1.0,197.78,2.0,771.43,2.0,771.43,0.5,2.0,0.0,4.0,0.0,,0.0,22.0,116.0,0.0,1.0,Male,Unknown,Silver,<20k,In-Store,1.0,1
C10010,1,28.0,15.0,11237.07,749.138,380.0441455598096,369.0,7.8,4.666666666666667,2.0,2.0,24.357142857142858,19.551144538037992,63.0,1.1495601173020527,1.0,521.0,3.0,2558.89,8.0,6812.63,14.0,11043.74,0.5,1.1428571428571428,0.0869389284010846,13.0,4.0,2.5,1.0,26.0,391.0,1.0,1.0,Female,Northeast,Bronze,40-70k,Mobile App,2.0,1
