อันดับ,ถ้าซื้อ (Antecedent),มักซื้อด้วย (Consequent),Support,Confidence,Lift,ตีความ
1,"Dog Food 3kg, Pet Shampoo",Dog Treats,0.012236542835481425,0.9630071599045347,22.553381461542635,โอกาสซื้อเพิ่มขึ้น 22.6 เท่าจากปกติ
2,"Dog Food 3kg, Dog Treats",Pet Shampoo,0.012236542835481425,0.5236859182349124,20.767941255317183,โอกาสซื้อเพิ่มขึ้น 20.8 เท่าจากปกติ
3,Pet Shampoo,"Dog Food 3kg, Dog Treats",0.012236542835481425,0.48526758869512926,20.76794125531718,โอกาสซื้อเพิ่มขึ้น 20.8 เท่าจากปกติ
4,"Baby Wipes, Diapers Pack",Baby Lotion,0.021152388172858225,0.6732625482625482,20.748441615848158,โอกาสซื้อเพิ่มขึ้น 20.7 เท่าจากปกติ
5,Baby Lotion,"Baby Wipes, Diapers Pack",0.021152388172858225,0.6518691588785047,20.748441615848158,โอกาสซื้อเพิ่มขึ้น 20.7 เท่าจากปกติ
6,"Coffee Beans 250g, Coffee Creamer",Coffee Filter Paper,0.02979529946929492,0.9747023809523809,17.472580055398076,โอกาสซื้อเพิ่มขึ้น 17.5 เท่าจากปกติ
7,Coffee Filter Paper,"Coffee Beans 250g, Coffee Creamer",0.02979529946929492,0.5341125305789617,17.472580055398076,โอกาสซื้อเพิ่มขึ้น 17.5 เท่าจากปกติ
8,"Dog Treats, Pet Shampoo",Dog Food 3kg,0.012236542835481425,0.9758162031438935,17.29510308985213,โอกาสซื้อเพิ่มขึ้น 17.3 เท่าจากปกติ
9,"Coffee Beans 250g, Coffee Filter Paper",Coffee Creamer,0.02979529946929492,0.7423498299962221,16.067598059813207,โอกาสซื้อเพิ่มขึ้น 16.1 เท่าจากปกติ
10,Coffee Creamer,"Coffee Beans 250g, Coffee Filter Paper",0.02979529946929492,0.6448966196258614,16.067598059813207,โอกาสซื้อเพิ่มขึ้น 16.1 เท่าจากปกติ
11,"Baby Lotion, Diapers Pack",Baby Wipes,0.021152388172858225,0.9700973574408901,16.010490671478152,โอกาสซื้อเพิ่มขึ้น 16.0 เท่าจากปกติ
12,Baby Wipes,"Baby Lotion, Diapers Pack",0.021152388172858225,0.3490990990990991,16.010490671478152,โอกาสซื้อเพิ่มขึ้น 16.0 เท่าจากปกติ
13,"Conditioner, Shampoo",Hair Treatment Mask,0.02265352539802881,0.6070702966273872,15.404496368825004,โอกาสซื้อเพิ่มขึ้น 15.4 เท่าจากปกติ
14,Hair Treatment Mask,"Conditioner, Shampoo",0.02265352539802881,0.5748364755675259,15.404496368825003,โอกาสซื้อเพิ่มขึ้น 15.4 เท่าจากปกติ
15,Diapers Pack,"Baby Lotion, Baby Wipes",0.021152388172858225,0.3178400546821599,14.834785283997485,โอกาสซื้อเพิ่มขึ้น 14.8 เท่าจากปกติ
