threshold,tp,fp,fn,tn,contacted,recall,precision,f1,net_value
0.05,146,237,3,214,383,0.9798657718120806,0.381201044386423,0.5488721804511278,78674.70599999998
0.055,146,232,3,219,378,0.9798657718120806,0.3862433862433862,0.5540796963946869,79424.70599999998
0.06,146,230,3,221,376,0.9798657718120806,0.3882978723404255,0.5561904761904762,79724.70599999998
0.065,145,228,4,223,373,0.9731543624161074,0.38873994638069703,0.5555555555555556,79242.34499999997
0.07,145,224,4,227,369,0.9731543624161074,0.39295392953929537,0.5598455598455598,79842.34499999997
0.075,145,220,4,231,365,0.9731543624161074,0.3972602739726027,0.5642023346303502,80442.34499999997
0.08,145,217,4,234,362,0.9731543624161074,0.4005524861878453,0.5675146771037182,80892.34499999997
0.08499999999999999,145,213,4,238,358,0.9731543624161074,0.40502793296089384,0.571992110453649,81492.34499999997
0.09,145,209,4,242,354,0.9731543624161074,0.4096045197740113,0.5765407554671969,82092.34499999997
0.095,145,207,4,244,352,0.9731543624161074,0.4119318181818182,0.5788423153692615,82392.34499999997
0.09999999999999999,145,204,4,247,349,0.9731543624161074,0.4154727793696275,0.5823293172690763,82842.34499999997
0.105,145,202,4,249,347,0.9731543624161074,0.41786743515850144,0.5846774193548387,83142.34499999997
0.10999999999999999,145,197,4,254,342,0.9731543624161074,0.4239766081871345,0.5906313645621182,83892.34499999997
0.11499999999999999,143,193,6,258,336,0.959731543624161,0.4255952380952381,0.5896907216494846,82927.62299999999
0.12,143,191,6,260,334,0.959731543624161,0.4281437125748503,0.5921325051759835,83227.62299999999
0.12499999999999999,143,184,6,267,327,0.959731543624161,0.43730886850152906,0.6008403361344538,84277.62299999999
0.13,143,182,6,269,325,0.959731543624161,0.44,0.6033755274261603,84577.62299999999
0.135,143,180,6,271,323,0.959731543624161,0.44272445820433437,0.6059322033898306,84877.62299999999
0.13999999999999999,143,178,6,273,321,0.959731543624161,0.4454828660436137,0.6085106382978723,85177.62299999999
0.145,143,176,6,275,319,0.959731543624161,0.4482758620689655,0.6111111111111112,85477.62299999999
0.14999999999999997,143,175,6,276,318,0.959731543624161,0.449685534591195,0.6124197002141327,85627.62299999999
0.15499999999999997,142,172,7,279,314,0.9530201342281879,0.45222929936305734,0.6133909287257019,85295.26199999999
0.15999999999999998,142,171,7,280,313,0.9530201342281879,0.4536741214057508,0.6147186147186147,85445.26199999999
0.16499999999999998,142,167,7,284,309,0.9530201342281879,0.459546925566343,0.6200873362445415,86045.26199999999
0.16999999999999998,142,162,7,289,304,0.9530201342281879,0.46710526315789475,0.6269315673289183,86795.26199999999
0.175,141,160,8,291,301,0.9463087248322147,0.4684385382059801,0.6266666666666667,86312.90099999998
0.18,139,158,10,293,297,0.9328859060402684,0.468013468013468,0.6233183856502242,85048.17899999999
0.185,139,155,10,296,294,0.9328859060402684,0.47278911564625853,0.6275395033860045,85498.17899999999
0.19,138,152,11,299,290,0.9261744966442953,0.47586206896551725,0.6287015945330297,85165.81799999998
0.195,137,148,12,303,285,0.9194630872483222,0.4807017543859649,0.631336405529954,84983.45699999998
0.19999999999999996,137,147,12,304,284,0.9194630872483222,0.4823943661971831,0.6327944572748267,85133.45699999998
0.20499999999999996,137,147,12,304,284,0.9194630872483222,0.4823943661971831,0.6327944572748267,85133.45699999998
0.20999999999999996,137,144,12,307,281,0.9194630872483222,0.4875444839857651,0.6372093023255814,85583.45699999998
0.21499999999999997,137,140,12,311,277,0.9194630872483222,0.49458483754512633,0.6431924882629108,86183.45699999998
0.21999999999999997,137,135,12,316,272,0.9194630872483222,0.5036764705882353,0.6508313539192399,86933.45699999998
0.22499999999999998,137,132,12,319,269,0.9194630872483222,0.5092936802973977,0.6555023923444976,87383.45699999998
0.22999999999999998,137,127,12,324,264,0.9194630872483222,0.5189393939393939,0.6634382566585957,88133.45699999998
0.235,137,125,12,326,262,0.9194630872483222,0.5229007633587787,0.6666666666666666,88433.45699999998
0.24,137,124,12,327,261,0.9194630872483222,0.524904214559387,0.6682926829268293,88583.45699999998
0.245,137,124,12,327,261,0.9194630872483222,0.524904214559387,0.6682926829268293,88583.45699999998
0.24999999999999994,137,121,12,330,258,0.9194630872483222,0.5310077519379846,0.6732186732186732,89033.45699999998
0.25499999999999995,136,118,13,333,254,0.912751677852349,0.5354330708661418,0.674937965260546,88701.09599999999
0.25999999999999995,136,114,13,337,250,0.912751677852349,0.544,0.681704260651629,89301.09599999999
0.26499999999999996,136,113,13,338,249,0.912751677852349,0.5461847389558233,0.6834170854271356,89451.09599999999
0.26999999999999996,135,111,14,340,246,0.9060402684563759,0.5487804878048781,0.6835443037974683,88968.73499999999
0.27499999999999997,135,107,14,344,242,0.9060402684563759,0.5578512396694215,0.690537084398977,89568.73499999999
0.27999999999999997,134,105,15,346,239,0.8993288590604027,0.5606694560669456,0.6907216494845361,89086.37399999998
0.285,134,104,15,347,238,0.8993288590604027,0.5630252100840336,0.6925064599483204,89236.37399999998
0.29,133,102,16,349,235,0.8926174496644296,0.5659574468085107,0.6927083333333334,88754.01299999998
0.295,133,100,16,351,233,0.8926174496644296,0.5708154506437768,0.6963350785340314,89054.01299999998
0.3,133,97,16,354,230,0.8926174496644296,0.5782608695652174,0.7018469656992085,89504.01299999998
0.30499999999999994,132,97,17,354,229,0.8859060402684564,0.5764192139737991,0.6984126984126984,88721.65199999999
0.30999999999999994,132,94,17,357,226,0.8859060402684564,0.584070796460177,0.704,89171.65199999999
0.31499999999999995,132,93,17,358,225,0.8859060402684564,0.5866666666666667,0.7058823529411765,89321.65199999999
0.31999999999999995,132,90,17,361,222,0.8859060402684564,0.5945945945945946,0.7115902964959568,89771.65199999999
0.32499999999999996,132,90,17,361,222,0.8859060402684564,0.5945945945945946,0.7115902964959568,89771.65199999999
0.32999999999999996,132,87,17,364,219,0.8859060402684564,0.6027397260273972,0.717391304347826,90221.65199999999
0.33499999999999996,132,85,17,366,217,0.8859060402684564,0.6082949308755761,0.7213114754098361,90521.65199999999
0.33999999999999997,132,83,17,368,215,0.8859060402684564,0.6139534883720931,0.7252747252747253,90821.65199999999
0.3449999999999999,132,81,17,370,213,0.8859060402684564,0.6197183098591549,0.7292817679558011,91121.65199999999
0.3499999999999999,130,78,19,373,208,0.87248322147651,0.625,0.7282913165266106,90006.92999999998
0.3549999999999999,130,77,19,374,207,0.87248322147651,0.6280193236714976,0.7303370786516854,90156.92999999998
0.35999999999999993,130,76,19,375,206,0.87248322147651,0.6310679611650486,0.7323943661971831,90306.92999999998
0.36499999999999994,130,75,19,376,205,0.87248322147651,0.6341463414634146,0.7344632768361582,90456.92999999998
0.36999999999999994,128,73,21,378,201,0.8590604026845637,0.6368159203980099,0.7314285714285714,89192.20799999998
0.37499999999999994,126,70,23,381,196,0.8456375838926175,0.6428571428571429,0.7304347826086957,88077.48599999999
0.37999999999999995,126,70,23,381,196,0.8456375838926175,0.6428571428571429,0.7304347826086957,88077.48599999999
0.38499999999999995,126,69,23,382,195,0.8456375838926175,0.6461538461538462,0.7325581395348837,88227.48599999999
0.38999999999999996,126,67,23,384,193,0.8456375838926175,0.6528497409326425,0.7368421052631579,88527.48599999999
0.39499999999999996,126,66,23,385,192,0.8456375838926175,0.65625,0.7390029325513197,88677.48599999999
0.3999999999999999,126,64,23,387,190,0.8456375838926175,0.6631578947368421,0.7433628318584071,88977.48599999999
0.4049999999999999,125,64,24,387,189,0.8389261744966443,0.6613756613756614,0.7396449704142012,88195.12499999999
0.4099999999999999,125,63,24,388,188,0.8389261744966443,0.6648936170212766,0.7418397626112759,88345.12499999999
0.4149999999999999,125,63,24,388,188,0.8389261744966443,0.6648936170212766,0.7418397626112759,88345.12499999999
0.41999999999999993,124,63,25,388,187,0.8322147651006712,0.6631016042780749,0.7380952380952381,87562.76399999998
0.42499999999999993,124,60,25,391,184,0.8322147651006712,0.6739130434782609,0.7447447447447447,88012.76399999998
0.42999999999999994,124,59,25,392,183,0.8322147651006712,0.6775956284153005,0.7469879518072289,88162.76399999998
0.43499999999999994,124,58,25,393,182,0.8322147651006712,0.6813186813186813,0.7492447129909365,88312.76399999998
0.43999999999999995,124,58,25,393,182,0.8322147651006712,0.6813186813186813,0.7492447129909365,88312.76399999998
0.44499999999999995,123,57,26,394,180,0.825503355704698,0.6833333333333333,0.7477203647416414,87680.40299999999
0.4499999999999999,123,57,26,394,180,0.825503355704698,0.6833333333333333,0.7477203647416414,87680.40299999999
0.4549999999999999,123,55,26,396,178,0.825503355704698,0.6910112359550562,0.7522935779816514,87980.40299999999
0.4599999999999999,122,55,27,396,177,0.8187919463087249,0.6892655367231638,0.7484662576687117,87198.04199999999
0.4649999999999999,121,55,28,396,176,0.8120805369127517,0.6875,0.7446153846153846,86415.68099999998
0.4699999999999999,121,54,28,397,175,0.8120805369127517,0.6914285714285714,0.7469135802469136,86565.68099999998
0.4749999999999999,121,53,28,398,174,0.8120805369127517,0.6954022988505747,0.7492260061919505,86715.68099999998
0.4799999999999999,121,52,28,399,173,0.8120805369127517,0.6994219653179191,0.7515527950310559,86865.68099999998
0.48499999999999993,119,51,30,400,170,0.7986577181208053,0.7,0.7460815047021944,85450.95899999999
0.48999999999999994,117,51,32,400,168,0.785234899328859,0.6964285714285714,0.7381703470031545,83886.23699999998
0.49499999999999994,117,51,32,400,168,0.785234899328859,0.6964285714285714,0.7381703470031545,83886.23699999998
0.49999999999999994,117,51,32,400,168,0.785234899328859,0.6964285714285714,0.7381703470031545,83886.23699999998
0.5049999999999999,117,51,32,400,168,0.785234899328859,0.6964285714285714,0.7381703470031545,83886.23699999998
0.5099999999999999,117,48,32,403,165,0.785234899328859,0.7090909090909091,0.7452229299363057,84336.23699999998
0.5149999999999999,115,46,34,405,161,0.7718120805369127,0.7142857142857143,0.7419354838709677,83071.51499999998
0.5199999999999999,115,46,34,405,161,0.7718120805369127,0.7142857142857143,0.7419354838709677,83071.51499999998
0.5249999999999999,114,45,35,406,159,0.7651006711409396,0.7169811320754716,0.7402597402597403,82439.15399999998
