ระยะเวลา (ไตรมาส),ค่าคูปอง (บาท),มูลค่าต่อรายที่รักษาได้,อัตราส่วน FN:FP,เกณฑ์ที่เหมาะสม,Recall ที่ได้,มูลค่าสุทธิ (บาท)
1,100.0,233.0,2.3,0.615,0.725,11274.0
1,150.0,233.0,1.6,0.745,0.577,5046.0
1,250.0,233.0,0.9,0.95,0.168,-923.0
2,100.0,466.0,4.7,0.345,0.886,40236.0
2,150.0,466.0,3.1,0.455,0.826,30640.0
2,250.0,466.0,1.9,0.615,0.725,15597.0
4,100.0,932.0,9.3,0.17,0.953,101995.0
4,150.0,932.0,6.2,0.345,0.886,91122.0
4,250.0,932.0,3.7,0.455,0.826,70180.0
8,100.0,1865.0,18.6,0.11,0.973,236185.0
8,150.0,1865.0,12.4,0.17,0.953,219191.0
8,250.0,1865.0,7.5,0.345,0.886,192893.0
