feature,importance,std
recency,0.08239996913071763,0.017922517986704876
monetary,0.03138012171379145,0.011473967014859391
frequency,0.029136400032996446,0.010439334106817275
recency_vs_gap,0.025215356884224775,0.009652067663804893
avg_satisfaction,0.023919082475540133,0.005989589134458443
discount_ratio,0.02289129001362588,0.009550834221647085
avg_order_value,0.019288380817925853,0.007514593359388114
days_since_signup,0.016137667373484255,0.003982790536836623
spend_30d,0.015150410920564484,0.007694956121806769
spend_365d,0.012567089529847367,0.007612085272899957
n_tx_90d,0.012452769865637614,0.006271612349898859
tenure_days,0.01204064352077434,0.006677653672761004
n_tickets,0.011201442689853272,0.0036853401129852826
n_unresolved_tickets,0.009383237595139475,0.004322030479143477
gap_mean,0.008672763126981575,0.002962891072842606
trend_90_over_prev90,0.007907291716006022,0.0019773381618139753
spend_90d,0.005356868634828893,0.004198636078117532
membership_tier,0.005124850934957981,0.0019015759077371031
n_tx_180d,0.003902682360663408,0.002226456515778985
gap_max,0.0035806613188900847,0.002926252109735946
spend_180d,0.0027833182237464375,0.00321308110065315
basket_depth,0.0027824910268231602,0.004523297493039495
category_breadth,0.002251357453797039,0.0024626994858571454
trend_180_over_prev180,0.002075923626500605,0.0033635606935791874
n_tx_365d,0.0020615290663080913,0.002195867910132871
age,0.002022026453432931,0.0023713615853999796
marketing_optin,0.0015022253912747585,0.0013256529772107375
std_order_value,0.0012479222024353329,0.00308190488501684
income_bracket,0.0011078936601048048,0.0013448740959687313
gender,0.000986194827955574,0.0005803583395277586
gap_std,0.0006749992457816712,0.0029797881778205423
n_tx_30d,0.0006278824498739436,0.0017446436965773164
has_purchase_history,0.0003760111345618711,0.0016499163759737027
store_diversity,3.80119750044076e-05,0.001899537720414762
items_per_basket,-0.0003680932507394393,0.004814479370993473
has_mobile_app,-0.00046937018793688317,0.00030335661107826943
city_tier,-0.0005631701901254467,0.001608636961502593
channel_diversity,-0.0005687171545907106,0.0004161115472924985
region,-0.001189036094709513,0.0015627020119529044
preferred_channel,-0.004139212691161871,0.0015859616412702685
