อันดับ,ฟีเจอร์,ฟีเจอร์นี้วัดอะไร,ความสำคัญ,ค่าเฉลี่ยกลุ่มที่ churn,ค่าเฉลี่ยกลุ่มที่อยู่ต่อ,ข้อมูลดิบชี้ว่า,โมเดลเชิงเส้นชี้ว่า,การตรวจสอบไขว้
1,recency,จำนวนวันนับจากการซื้อครั้งล่าสุด (ณ วันตัด),0.0824,87.89,27.14,ผู้ที่ churn มีค่านี้สูงขึ้น,ค่าสูง -> เสี่ยงมากขึ้น,สอดคล้อง
2,monetary,ยอดใช้จ่ายสะสมทั้งหมดในช่วงฟีเจอร์,0.0314,14563.38,39278.36,ผู้ที่ churn มีค่านี้ต่ำลง,ค่าสูง -> เสี่ยงมากขึ้น,สวนทาง (ดูหมายเหตุ)
3,frequency,จำนวนครั้งที่ซื้อทั้งหมดในช่วงฟีเจอร์,0.0291,12.38,21.6,ผู้ที่ churn มีค่านี้ต่ำลง,ค่าสูง -> เสี่ยงมากขึ้น,สวนทาง (ดูหมายเหตุ)
4,recency_vs_gap,ความเงียบปัจจุบันเทียบกับจังหวะการซื้อปกติของลูกค้ารายนั้นเอง,0.0252,3.79,1.15,ผู้ที่ churn มีค่านี้สูงขึ้น,ค่าสูง -> เสี่ยงน้อยลง,สวนทาง (ดูหมายเหตุ)
5,avg_satisfaction,คะแนนความพึงพอใจเฉลี่ยจากการติดต่อฝ่ายบริการ,0.0239,2.72,3.39,ผู้ที่ churn มีค่านี้ต่ำลง,ค่าสูง -> เสี่ยงน้อยลง,สอดคล้อง
6,discount_ratio,สัดส่วนส่วนลดต่อยอดซื้อรวม,0.0229,0.05,0.04,ผู้ที่ churn มีค่านี้สูงขึ้น,ค่าสูง -> เสี่ยงมากขึ้น,สอดคล้อง
7,avg_order_value,มูลค่าเฉลี่ยต่อบิล,0.0193,1030.83,1236.4,ผู้ที่ churn มีค่านี้ต่ำลง,ค่าสูง -> เสี่ยงมากขึ้น,สวนทาง (ดูหมายเหตุ)
8,days_since_signup,จำนวนวันนับจากวันสมัครสมาชิก,0.0161,407.74,398.3,ผู้ที่ churn มีค่านี้สูงขึ้น,ค่าสูง -> เสี่ยงน้อยลง,สวนทาง (ดูหมายเหตุ)
9,spend_30d,ยอดใช้จ่ายใน 30 วันก่อนวันตัด,0.0152,355.38,2379.8,ผู้ที่ churn มีค่านี้ต่ำลง,ค่าสูง -> เสี่ยงน้อยลง,สอดคล้อง
10,spend_365d,ยอดใช้จ่ายใน 365 วันก่อนวันตัด,0.0126,9906.67,28738.78,ผู้ที่ churn มีค่านี้ต่ำลง,ค่าสูง -> เสี่ยงน้อยลง,สอดคล้อง
