customer_id,churn_probability,risk_tier,segment,persona,recency,frequency,monetary,avg_order_value,n_tx_90d,trend_90_over_prev90,discount_ratio,n_unresolved_tickets,avg_satisfaction,warning_signals,recommended_action
C10075,0.99843746,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),158.0,18.0,17706.01,983.6672222222221,0.0,0.0,0.044927644113033544,2.0,2.0,ไม่ซื้อมา 158 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด · คะแนนความพึงพอใจต่ำ (2.0/5) · มีเรื่องร้องเรียนค้าง 2 เรื่อง,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C12445,0.9983317,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),135.0,15.0,27960.54,1864.036,0.0,0.0,0.04617696964404258,1.0,3.0,ไม่ซื้อมา 135 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด · มีเรื่องร้องเรียนค้าง 1 เรื่อง,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C12174,0.9979348,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),182.0,14.0,21637.34,1545.5242857142857,0.0,0.0,0.05899856266539676,0.0,,ไม่ซื้อมา 182 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C12961,0.99792105,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),190.0,11.0,21568.88,1960.807272727273,0.0,0.0,0.0378226271973534,0.0,1.0,ไม่ซื้อมา 190 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด · คะแนนความพึงพอใจต่ำ (1.0/5),โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C10199,0.9978688,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),335.0,7.0,14643.18,2091.882857142857,0.0,0.0,0.011999840766802307,0.0,2.5,ไม่ซื้อมา 335 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C12452,0.9976305,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),117.0,21.0,33629.93,1601.425238095238,0.0,0.0,0.08696345076949893,1.0,1.0,ไม่ซื้อมา 117 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด · คะแนนความพึงพอใจต่ำ (1.0/5) · มีเรื่องร้องเรียนค้าง 1 เรื่อง,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C10365,0.9975975,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),285.0,6.0,12607.24,2101.2066666666665,0.0,0.0,0.04446159046708089,1.0,2.3333333333333335,ไม่ซื้อมา 285 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด · มีเรื่องร้องเรียนค้าง 1 เรื่อง,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C11958,0.9974602,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),160.0,15.0,24960.38,1664.0253333333335,0.0,0.0,0.04126750495587247,0.0,3.5,ไม่ซื้อมา 160 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C12049,0.9969861,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),196.0,17.0,17981.63,1057.7429411764706,0.0,0.0,0.09759448930134149,0.0,1.0,ไม่ซื้อมา 196 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด · คะแนนความพึงพอใจต่ำ (1.0/5),โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
C12782,0.9969807,วิกฤต,0,ลูกค้าคุณค่าสูงที่กำลังห่างหาย (At-Risk High-Value),163.0,9.0,15408.82,1712.091111111111,0.0,0.0,0.05595358440396763,0.0,2.6666666666666665,ไม่ซื้อมา 163 วัน · ความถี่ 90 วันล่าสุดลดลงชัดเจน · ไม่มีการซื้อเลยใน 90 วันล่าสุด,โทรหาโดยพนักงานภายใน 48 ชม. + ข้อเสนอเฉพาะบุคคล
