customer_id,signup_date,gender,age,region,city_tier,income_bracket,membership_tier,preferred_channel,marketing_optin,has_mobile_app
C10001,2025-07-28,Male,42.0,South,3,>120k,Gold,Mobile App,1,1
C10002,2025-09-10,F,36.0,East,1,20-40k,Silver,In-Store,1,0
C10003,2025-05-17,F,35.0,Northeast,2,70-120k,Bronze,In-Store,0,0
C10004,2025-11-17,male,29.0,Bangkok,1,20-40k,Bronze,Online Web,0,0
C10005,2025-03-15,Male,43.0,Bangkok,1,40-70k,Bronze,Online Web,0,1
C10006,2024-12-19,Male,36.0,Central,2,<20k,Bronze,Mobile App,0,1
C10007,2026-02-20,Female,18.0,North,2,70-120k,Bronze,Mobile App,0,0
C10008,2026-05-24,Male,26.0,Northeast,1,40-70k,Gold,Online Web,0,0
C10009,2026-02-05,Male,22.0,,1,<20k,Silver,In-Store,0,1
C10010,2025-05-06,Female,26.0,Northeast,2,40-70k,Bronze,Mobile App,1,1
C10011,2025-02-21,F,55.0,Central,3,20-40k,Gold,In-Store,1,1
C10012,2025-09-13,Female,43.0,Northeast,3,40-70k,Silver,Mobile App,1,1
C10013,2024-12-14,M,30.0,Bangkok,1,,Silver,In-Store,1,0
C10014,2025-08-22,F,36.0,Central,1,>120k,Silver,Mobile App,1,1
C10015,2025-02-12,F,40.0,Central,1,>120k,Bronze,In-Store,0,0
C10016,2024-10-15,F,44.0,Bangkok,1,>120k,Bronze,In-Store,0,0
C10017,2026-04-13,Male,35.0,Northeast,1,20-40k,Silver,In-Store,1,0
C10018,2024-08-22,Male,37.0,Bangkok,1,,Gold,In-Store,1,0
C10019,2026-03-19,Female,31.0,Bangkok,3,<20k,Bronze,In-Store,1,0
C10020,2024-08-18,M,20.0,Central,3,<20k,Bronze,Mobile App,0,0
C10021,2024-09-29,Female,,East,1,40-70k,Platinum,Online Web,1,1
C10022,2025-07-09,Male,44.0,Bangkok,1,20-40k,Silver,In-Store,1,1
C10023,2025-05-30,F,61.0,East,3,>120k,Gold,In-Store,1,1
C10024,2024-10-13,M,39.0,Bangkok,3,70-120k,Gold,In-Store,1,0
C10025,2025-01-01,Male,29.0,Bangkok,1,>120k,Bronze,In-Store,1,0
C10026,2025-04-28,F,18.0,Northeast,1,40-70k,Bronze,Online Web,1,0
C10027,2025-09-08,Male,27.0,Northeast,1,<20k,Bronze,In-Store,1,1
C10028,2024-10-17,Male,31.0,Northeast,3,70-120k,Silver,In-Store,0,1
C10029,2025-04-02,M,36.0,Northeast,2,40-70k,Gold,In-Store,1,0
C10030,2024-12-31,Female,33.0,North,3,<20k,Bronze,Mobile App,1,1
C10031,2026-05-31,Female,18.0,Central,2,20-40k,Bronze,In-Store,1,1
C10032,2024-09-06,F,41.0,East,3,40-70k,Gold,Mobile App,1,0
C10033,2025-04-02,m,28.0,Northeast,2,,Gold,Mobile App,1,0
C10034,2025-06-16,Male,39.0,Bangkok,2,<20k,Silver,In-Store,1,0
C10035,2026-06-16,M,18.0,Bangkok,2,40-70k,Gold,In-Store,1,1
C10036,2025-03-30,Male,34.0,Bangkok,2,20-40k,Silver,In-Store,1,0
C10037,2024-12-03,F,38.0,South,1,40-70k,Bronze,In-Store,1,0
C10038,2025-01-12,Female,42.0,East,2,20-40k,Bronze,Mobile App,1,1
C10039,2025-08-24,Female,18.0,Central,1,70-120k,Bronze,Mobile App,1,1
C10040,2025-10-07,F,18.0,North,2,<20k,Silver,Online Web,0,1
C10041,2024-08-25,M,25.0,Central,1,40-70k,Bronze,In-Store,1,0
C10042,2025-08-18,M,37.0,Bangkok,2,>120k,Silver,In-Store,1,0
C10043,2025-02-15,M,28.0,Northeast,1,20-40k,Silver,In-Store,0,1
C10044,2024-11-10,female,40.0,Bangkok,1,20-40k,Silver,Online Web,0,1
C10045,2024-08-13,f,31.0,Northeast,1,20-40k,Silver,In-Store,0,0
C10046,2025-12-07,F,29.0,Central,2,70-120k,Silver,In-Store,1,0
C10047,2025-04-17,Male,48.0,North,1,20-40k,Gold,In-Store,1,1
C10048,2025-07-13,Male,18.0,Northeast,2,40-70k,Bronze,In-Store,1,0
C10049,2026-02-19,Female,18.0,Bangkok,2,40-70k,Bronze,Online Web,0,0
C10050,2024-12-24,f,42.0,Northeast,2,70-120k,Silver,In-Store,1,0
C10051,2025-04-04,F,40.0,North,3,40-70k,Bronze,In-Store,0,1
C10052,2025-01-28,Male,53.0,Bangkok,2,40-70k,Platinum,In-Store,1,0
C10053,2025-04-07,F,30.0,Central,3,40-70k,Bronze,Mobile App,0,0
C10054,2025-01-24,Female,,Central,2,<20k,Bronze,In-Store,1,1
C10055,2025-02-19,Male,37.0,North,1,40-70k,Gold,In-Store,1,1
C10056,2025-09-20,M,36.0,North,3,<20k,Silver,Mobile App,1,1
C10057,2026-04-04,Male,18.0,Northeast,3,70-120k,Silver,Online Web,0,1
C10058,2025-02-09,F,33.0,East,3,20-40k,Gold,Mobile App,0,1
C10059,2025-05-14,Female,25.0,Bangkok,3,70-120k,Gold,In-Store,1,1
C10060,2025-05-09,M,30.0,Bangkok,2,40-70k,Gold,In-Store,1,1
C10061,2026-02-12,Female,33.0,Northeast,3,<20k,Bronze,Mobile App,0,1
C10062,2025-01-30,Male,40.0,Northeast,1,20-40k,Silver,In-Store,1,0
C10063,2025-06-30,Male,36.0,Central,2,20-40k,Gold,Online Web,1,1
C10064,2025-10-07,Male,38.0,East,2,20-40k,Bronze,In-Store,1,1
C10065,2025-01-28,Female,27.0,South,2,20-40k,Bronze,In-Store,0,1
