ticket_id,customer_id,ticket_date,issue_type,contact_channel,is_resolved,satisfaction_score
K50001,C10002,2025-11-15,Refund Request,Call Center,1,4
K50002,C10005,2026-05-24,Wrong Item,Call Center,0,3
K50003,C10005,2026-08-11,Damaged Item,Social,1,4
K50004,C10005,2025-09-25,Membership Points,Call Center,0,3
K50005,C10010,2026-04-07,Damaged Item,Social,1,2
K50006,C10010,2026-01-05,Wrong Item,Social,1,2
K50007,C10010,2026-02-07,Payment Issue,Chat,1,2
K50008,C10010,2025-10-25,Membership Points,Chat,0,4
K50009,C10011,2026-06-07,Delivery Delay,Call Center,1,4
K50010,C10015,2025-12-29,Wrong Item,Email,1,2
K50011,C10016,2026-03-18,Wrong Item,Call Center,1,4
K50012,C10017,2026-07-01,Damaged Item,Email,1,4
K50013,C10019,2026-04-18,Payment Issue,Call Center,1,2
K50014,C10020,2026-05-15,Delivery Delay,Chat,1,5
K50015,C10020,2025-09-14,App/Website Problem,Social,1,4
K50016,C10026,2026-02-09,Wrong Item,Call Center,1,4
K50017,C10028,2025-10-05,Membership Points,Email,0,1
K50018,C10028,2025-06-08,Wrong Item,Social,0,1
K50019,C10029,2025-11-17,Damaged Item,Call Center,1,4
K50020,C10030,2025-07-27,Membership Points,Email,1,3
K50021,C10030,2025-03-20,Membership Points,Social,1,5
K50022,C10030,2025-01-04,App/Website Problem,Call Center,1,3
K50023,C10037,2026-03-14,Payment Issue,Email,0,2
K50024,C10037,2025-11-06,Membership Points,Call Center,1,4
K50025,C10038,2026-03-11,Refund Request,Chat,1,4
K50026,C10040,2026-03-31,App/Website Problem,Social,1,1
K50027,C10040,2026-02-23,Membership Points,Social,1,1
K50028,C10040,2026-04-02,Refund Request,Call Center,1,3
K50029,C10044,2026-06-15,Payment Issue,Social,1,4
K50030,C10046,2026-03-18,Membership Points,Chat,0,4
K50031,C10047,2025-06-03,Damaged Item,Chat,1,4
K50032,C10047,2026-04-09,Refund Request,Chat,1,3
K50033,C10048,2025-09-11,Membership Points,Email,0,3
K50034,C10051,2025-05-13,Wrong Item,Chat,1,2
K50035,C10051,2026-03-15,App/Website Problem,Email,0,5
K50036,C10053,2025-09-10,App/Website Problem,Email,1,4
K50037,C10054,2026-01-02,Wrong Item,Social,0,3
K50038,C10059,2026-07-07,Refund Request,Chat,1,3
K50039,C10059,2025-12-26,Damaged Item,Chat,1,4
K50040,C10066,2024-10-07,App/Website Problem,Email,1,4
K50041,C10072,2026-07-21,Refund Request,Social,1,3
K50042,C10073,2026-04-25,Delivery Delay,Chat,1,3
K50043,C10075,2025-02-27,App/Website Problem,Email,1,2
K50044,C10075,2025-11-20,Damaged Item,Call Center,0,2
K50045,C10075,2025-10-21,Refund Request,Social,0,1
K50046,C10075,2025-10-30,Refund Request,Call Center,1,3
K50047,C10076,2026-03-28,Damaged Item,Chat,1,5
K50048,C10077,2026-02-10,Wrong Item,Chat,1,3
K50049,C10079,2025-12-03,Payment Issue,Email,1,4
K50050,C10080,2026-07-13,Wrong Item,Email,0,5
K50051,C10082,2025-05-31,Refund Request,Social,1,1
K50052,C10086,2025-12-12,Payment Issue,Call Center,0,3
K50053,C10088,2025-11-12,Refund Request,Social,1,3
K50054,C10089,2026-06-25,Membership Points,Chat,1,2
K50055,C10091,2026-04-20,Delivery Delay,Email,1,4
K50056,C10091,2026-07-14,Damaged Item,Chat,1,4
K50057,C10091,2026-02-17,Payment Issue,Chat,1,3
K50058,C10091,2025-10-26,Wrong Item,Call Center,1,5
K50059,C10093,2026-05-04,Refund Request,Call Center,0,3
K50060,C10094,2026-05-21,Wrong Item,Social,1,4
K50061,C10096,2026-03-11,Damaged Item,Email,1,1
K50062,C10102,2025-11-26,Payment Issue,Call Center,1,4
K50063,C10103,2025-01-31,Membership Points,Chat,1,4
K50064,C10105,2026-02-25,Delivery Delay,Chat,1,3
K50065,C10105,2026-03-22,App/Website Problem,Call Center,1,4
K50066,C10106,2026-01-24,Damaged Item,Call Center,1,5
K50067,C10106,2025-09-14,Damaged Item,Social,1,4
K50068,C10107,2026-03-07,Membership Points,Email,1,3
K50069,C10107,2026-06-24,Membership Points,Email,1,3
K50070,C10109,2026-02-15,Membership Points,Social,1,5
K50071,C10110,2026-08-13,Wrong Item,Email,1,5
K50072,C10113,2025-08-30,Delivery Delay,Chat,0,2
K50073,C10118,2025-06-18,Damaged Item,Social,1,5
K50074,C10121,2026-03-26,Delivery Delay,Email,1,1
K50075,C10123,2025-07-19,Refund Request,Chat,1,5
K50076,C10123,2026-03-22,Payment Issue,Email,1,5
K50077,C10131,2025-11-11,Refund Request,Call Center,1,3
K50078,C10135,2026-07-13,App/Website Problem,Email,1,4
K50079,C10136,2025-10-05,Membership Points,Call Center,1,2
K50080,C10138,2026-01-01,App/Website Problem,Call Center,1,3
K50081,C10138,2026-02-03,Damaged Item,Social,1,2
K50082,C10139,2026-08-11,Damaged Item,Call Center,1,3
K50083,C10141,2025-11-25,Damaged Item,Social,0,3
K50084,C10142,2025-09-22,App/Website Problem,Email,1,3
K50085,C10145,2025-11-08,Damaged Item,Email,1,3
K50086,C10146,2026-07-13,Membership Points,Chat,0,3
K50087,C10146,2026-08-03,Wrong Item,Chat,1,2
K50088,C10146,2026-07-09,Payment Issue,Email,1,3
K50089,C10150,2026-05-24,Membership Points,Chat,1,3
K50090,C10153,2025-07-18,App/Website Problem,Social,1,5
K50091,C10158,2026-04-10,App/Website Problem,Email,1,3
K50092,C10159,2025-09-03,App/Website Problem,Call Center,1,1
K50093,C10160,2026-06-16,Membership Points,Chat,0,2
K50094,C10163,2026-02-18,Refund Request,Chat,1,3
K50095,C10166,2025-12-23,Wrong Item,Chat,1,2
K50096,C10168,2026-07-28,App/Website Problem,Chat,1,2
K50097,C10169,2026-05-05,Delivery Delay,Chat,1,3
K50098,C10175,2026-05-02,Damaged Item,Chat,1,2
K50099,C10178,2026-07-10,Wrong Item,Chat,1,3
K50100,C10179,2025-09-26,Delivery Delay,Call Center,1,3
K50101,C10180,2026-03-02,Refund Request,Social,0,3
K50102,C10183,2025-02-15,App/Website Problem,Social,1,3
K50103,C10185,2026-04-14,Membership Points,Call Center,1,2
K50104,C10192,2025-10-16,Membership Points,Social,1,5
K50105,C10194,2026-06-16,Wrong Item,Social,1,3
K50106,C10198,2026-03-14,Delivery Delay,Chat,1,3
K50107,C10199,2025-05-18,Delivery Delay,Email,1,2
K50108,C10199,2025-05-01,Wrong Item,Email,1,3
K50109,C10201,2026-03-06,Delivery Delay,Chat,1,3
K50110,C10205,2026-08-10,Membership Points,Social,1,4
K50111,C10206,2026-06-19,Delivery Delay,Email,1,3
K50112,C10206,2025-12-26,Refund Request,Email,1,4
K50113,C10206,2025-10-26,Payment Issue,Chat,1,2
K50114,C10207,2025-12-24,App/Website Problem,Social,0,3
K50115,C10214,2025-04-19,Membership Points,Call Center,1,2
K50116,C10215,2025-01-03,Membership Points,Email,1,3
K50117,C10218,2025-07-30,Payment Issue,Chat,1,3
K50118,C10221,2025-08-19,Refund Request,Email,0,4
K50119,C10223,2026-07-24,Delivery Delay,Social,1,3
K50120,C10224,2026-04-08,Membership Points,Social,1,2
K50121,C10224,2026-02-21,Wrong Item,Email,1,3
K50122,C10229,2026-04-02,Delivery Delay,Social,1,3
K50123,C10229,2026-01-25,Delivery Delay,Chat,1,3
K50124,C10230,2026-06-25,Refund Request,Chat,1,5
K50125,C10233,2025-06-30,Damaged Item,Social,0,1
K50126,C10236,2025-11-24,App/Website Problem,Call Center,1,5
K50127,C10237,2026-01-13,Refund Request,Social,1,2
K50128,C10240,2026-05-01,App/Website Problem,Email,1,4
K50129,C10242,2026-06-03,Membership Points,Chat,1,3
K50130,C10247,2026-04-19,Delivery Delay,Social,1,5
K50131,C10247,2026-06-11,Refund Request,Email,1,3
K50132,C10247,2026-03-26,Membership Points,Social,0,4
K50133,C10249,2026-03-30,App/Website Problem,Social,1,1
K50134,C10250,2025-10-23,Payment Issue,Social,1,5
