transaction_id,line_no,product_id,quantity,unit_price,discount_amount,line_amount
T200000,1,P1013,2,50.71,0.0,101.42
T200000,2,P1014,3,77.06,0.0,231.18
T200000,3,P1008,2,191.18,114.71,267.65
T200001,1,P1025,2,128.78,0.0,257.56
T200001,2,P1011,2,163.82,49.15,278.49
T200001,3,P1031,1,44.83,0.0,44.83
T200002,1,P1069,1,91.99,0.0,91.99
T200002,2,P1053,2,195.63,0.0,391.26
T200002,3,P1012,1,122.55,0.0,122.55
T200002,4,P1058,2,136.55,0.0,273.1
T200002,5,P1017,1,70.57,0.0,70.57
T200003,1,P1003,1,29.31,0.0,29.31
T200003,2,P1029,3,34.98,0.0,104.94
T200003,3,P1025,4,126.52,0.0,506.08
T200003,4,P1016,1,39.94,0.0,39.94
T200004,1,P1013,5,48.73,0.0,243.65
T200004,2,P1014,2,78.28,0.0,156.56
T200004,3,P1008,1,191.06,0.0,191.06
T200004,4,P1035,2,297.91,0.0,595.82
T200005,1,P1049,1,333.72,0.0,333.72
T200005,2,P1038,1,38.18,0.0,38.18
T200005,3,P1039,4,93.88,0.0,375.52
T200005,4,P1011,1,163.0,0.0,163.0
T200005,5,P1063,3,90.25,0.0,270.75
T200005,6,P1015,1,44.54,0.0,44.54
T200005,7,P1020,2,150.41,0.0,300.82
T200006,1,P1065,1,703.92,140.78,563.14
T200006,2,P1006,2,24.67,0.0,49.34
T200006,3,P1005,3,63.96,0.0,191.88
T200006,4,P1003,2,28.31,0.0,56.62
T200006,5,P1044,2,54.74,0.0,109.48
T200006,6,P1020,2,152.11,0.0,304.22
T200006,7,P1069,1,88.98,0.0,88.98
T200006,8,P1057,2,61.02,0.0,122.04
T200006,9,P1053,2,195.57,0.0,391.14
T200007,1,P1001,1,43.39,13.02,30.37
T200007,2,P1073,3,85.97,0.0,257.91
T200007,3,P1019,1,133.21,39.96,93.25
T200008,1,P1027,5,122.84,0.0,614.2
T200008,2,P1044,1,39.86,0.0,39.86
T200008,3,P1052,1,142.82,0.0,142.82
T200009,1,P1037,2,57.65,34.59,80.71
T200010,1,P1060,1,252.83,75.85,176.98
T200010,2,P1088,1,210.01,0.0,210.01
T200011,1,P1006,1,18.99,5.7,13.29
T200011,2,P1019,3,131.19,59.04,334.53
T200011,3,P1028,1,142.76,42.83,99.93
T200011,4,P1048,3,15.05,6.77,38.38
T200011,5,P1020,1,111.73,0.0,111.73
T200011,6,P1043,4,21.15,0.0,84.6
T200011,7,P1044,2,41.18,0.0,82.36
T200012,1,P1010,3,74.07,0.0,222.21
T200012,2,P1030,2,74.19,0.0,148.38
T200013,1,P1029,2,25.7,10.28,41.12
T200013,2,P1048,1,15.2,4.56,10.64
T200013,3,P1045,1,59.22,8.88,50.34
T200013,4,P1073,2,90.07,18.01,162.13
T200014,1,P1013,2,35.95,0.0,71.9
T200014,2,P1014,2,59.48,17.84,101.12
T200014,3,P1043,3,21.3,0.0,63.9
T200015,1,P1037,1,65.1,0.0,65.1
T200016,1,P1074,2,361.53,0.0,723.06
T200017,1,P1045,1,63.86,0.0,63.86
T200017,2,P1049,2,270.66,0.0,541.32
T200018,1,P1062,3,413.71,0.0,1241.13
T200018,2,P1063,2,72.68,0.0,145.36
T200018,3,P1064,2,165.23,0.0,330.46
T200019,1,P1005,2,47.31,0.0,94.62
T200020,1,P1043,1,21.8,0.0,21.8
T200020,2,P1011,2,117.92,47.17,188.67
T200020,3,P1018,3,165.74,0.0,497.22
T200021,1,P1062,3,375.27,225.16,900.65
T200021,2,P1063,1,64.52,9.68,54.84
T200021,3,P1064,2,146.11,0.0,292.22
T200022,1,P1038,2,28.98,17.39,40.57
T200023,1,P1045,2,58.03,0.0,116.06
T200024,1,P1015,4,33.68,20.21,114.51
T200024,2,P1032,3,28.87,0.0,86.61
T200024,3,P1066,3,33.12,0.0,99.36
T200025,1,P1049,2,251.53,100.61,402.45
T200025,2,P1038,1,30.4,0.0,30.4
T200025,3,P1039,2,71.73,14.35,129.11
T200025,4,P1055,2,119.3,35.79,202.81
T200025,5,P1000,3,33.49,0.0,100.47
T200026,1,P1018,2,176.93,0.0,353.86
T200026,2,P1038,2,30.31,12.12,48.5
