transaction_id,customer_id,transaction_date,channel,store_id,payment_method,n_items,total_units,gross_amount,discount_amount,net_amount,is_return
T200000,C10001,2025-08-10,Mobile App,ONLINE,e-Wallet,3,7,714.96,114.71,600.25,0
T200001,C10001,2025-09-11,Mobile App,ONLINE,Credit Card,3,5,630.03,49.15,580.88,0
T200002,C10001,2025-09-15,Mobile App,ONLINE,Mobile Banking,5,7,949.47,0.0,949.47,0
T200003,C10001,2025-09-19,Mobile App,ONLINE,Credit Card,4,9,680.27,0.0,680.27,0
T200004,C10001,2025-11-09,Mobile App,ONLINE,Credit Card,4,10,1187.09,0.0,1187.09,0
T200005,C10001,2025-12-11,Mobile App,ONLINE,Credit Card,7,13,1526.53,0.0,1526.53,0
T200006,C10001,2026-03-04,Mobile App,ONLINE,e-Wallet,9,17,2017.62,140.78,1876.84,0
T200007,C10002,2025-11-09,In-Store,ST011,Credit Card,3,5,434.51,52.980000000000004,381.53,0
T200008,C10002,2026-01-12,In-Store,ST012,e-Wallet,3,7,796.88,0.0,796.88,0
T200009,C10002,2026-03-25,In-Store,ST020,Mobile Banking,1,2,115.3,34.59,80.71,0
T200010,C10002,2026-04-05,In-Store,ST001,Cash,2,2,462.84,75.85,386.99,0
T200011,C10002,2026-04-11,In-Store,ST024,Cash,7,15,879.16,114.34,764.82,0
T200012,C10002,2026-04-19,In-Store,ST003,e-Wallet,2,5,370.59,0.0,370.59,0
T200013,C10002,2026-05-31,In-Store,ST025,Cash,4,6,305.96,41.730000000000004,264.23,0
T200014,C10002,2026-08-27,In-Store,ST002,Credit Card,3,7,254.76,17.84,236.92,0
T200015,C10003,2025-07-16,Online Web,ONLINE,Mobile Banking,1,1,65.1,0.0,65.1,0
T200016,C10003,2025-10-05,In-Store,ST015,e-Wallet,1,2,723.06,0.0,723.06,0
T200017,C10003,2026-01-07,In-Store,ST006,Cash,2,3,605.18,0.0,605.18,0
T200018,C10003,2026-03-30,In-Store,ST025,Cash,3,7,1716.95,0.0,1716.95,0
T200019,C10004,2025-11-18,In-Store,ST018,Mobile Banking,1,2,94.62,0.0,94.62,0
T200020,C10004,2026-01-13,In-Store,ST023,Credit Card,3,6,754.86,47.17,707.69,0
T200021,C10004,2026-03-31,Mobile App,ONLINE,Credit Card,3,6,1482.55,234.84,1247.71,0
T200022,C10004,2026-05-09,Online Web,ONLINE,Credit Card,1,2,57.96,17.39,40.57,0
T200023,C10004,2026-05-31,Online Web,ONLINE,Credit Card,1,2,116.06,0.0,116.06,0
T200024,C10004,2026-08-21,Online Web,ONLINE,Credit Card,3,10,320.69,20.21,300.48,0
T200025,C10005,2025-03-29,Mobile App,ONLINE,Credit Card,5,10,1015.99,150.75,865.24,0
T200026,C10005,2025-04-16,Online Web,ONLINE,Mobile Banking,3,7,514.62,42.16,472.46,0
T200027,C10005,2025-04-19,Online Web,ONLINE,Mobile Banking,5,9,431.34,21.85,409.49,0
T200028,C10005,2025-05-13,Online Web,ONLINE,Mobile Banking,3,6,298.59,0.0,298.59,0
T200029,C10005,2025-09-18,Online Web,ONLINE,Mobile Banking,6,14,1462.0,0.0,1462.0,0
T200030,C10005,2025-09-25,Online Web,ONLINE,Mobile Banking,4,6,819.39,27.09,792.3,0
T200031,C10005,2025-09-27,Online Web,ONLINE,Credit Card,3,6,885.43,165.2,720.23,0
T200032,C10005,2025-10-02,Online Web,ONLINE,Mobile Banking,1,2,87.26,0.0,87.26,0
T200033,C10005,2025-10-27,Online Web,ONLINE,Mobile Banking,5,12,1114.43,130.98000000000002,983.45,0
T200034,C10005,2025-12-12,Online Web,ONLINE,Credit Card,1,1,50.86,0.0,50.86,0
T200035,C10005,2026-04-28,Online Web,ONLINE,Mobile Banking,6,10,453.44,17.18,436.26,0
T200036,C10005,2026-08-27,Online Web,ONLINE,Mobile Banking,3,4,282.53,17.200000000000003,265.33,0
T200037,C10006,2025-01-03,Mobile App,ONLINE,Credit Card,1,3,95.1,0.0,95.1,0
T200038,C10006,2025-01-26,Mobile App,ONLINE,Mobile Banking,3,9,2604.71,95.53999999999999,2509.17,0
T200039,C10006,2025-02-13,Mobile App,ONLINE,Mobile Banking,2,2,90.66,7.88,82.78,0
T200040,C10006,2025-04-09,Mobile App,ONLINE,Credit Card,5,9,981.22,30.13,951.09,0
T200041,C10006,2025-07-15,Mobile App,ONLINE,Credit Card,5,9,965.39,65.52,899.87,0
T200042,C10006,2025-09-05,Mobile App,ONLINE,Credit Card,3,6,627.81,176.07,451.74,0
T200043,C10006,2026-02-26,Mobile App,ONLINE,e-Wallet,3,4,151.91,0.0,151.91,0
T200044,C10006,2026-04-13,Mobile App,ONLINE,Credit Card,4,6,248.45,18.79,229.66,0
