Id,Name,Description,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Weight,Height,Image_File,Is_Legendary
1,bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,45,49,49,65,65,45,69,7,1.png,0
2,ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",60,62,63,80,80,60,130,10,2.png,0
3,venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,80,82,83,100,100,80,1000,20,3.png,0
4,charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",39,52,43,60,50,65,85,6,4.png,0
5,charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",58,64,58,80,65,80,190,11,5.png,0
6,charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,78,84,78,109,85,100,905,17,6.png,0
7,squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",44,48,65,50,64,43,90,5,7.png,0
8,wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",59,63,80,65,80,58,225,10,8.png,0
9,blastoise,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,79,83,100,85,105,78,855,16,9.png,0
10,caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,45,30,35,20,20,45,29,3,10.png,0
11,metapod,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",50,20,55,25,25,30,99,7,11.png,0
12,butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",60,45,50,90,80,70,320,11,12.png,0
13,weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",40,35,30,20,20,50,32,3,13.png,0
14,kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",45,25,50,25,25,35,100,6,14.png,0
15,beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,65,90,40,45,80,75,295,10,15.png,0
16,pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,40,45,40,35,35,56,18,3,16.png,0
17,pidgeotto,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",63,60,55,50,50,71,300,11,17.png,0
18,pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",83,80,75,70,70,101,395,15,18.png,0
