Id,Is_Legendary,Usage
274,0,Public
202,0,Public
162,0,Public
44,0,Public
218,0,Public
146,1,Public
191,0,Public
221,0,Public
252,0,Public
4,0,Public
106,0,Public
54,0,Public
134,0,Public
2,0,Public
132,0,Public
104,0,Public
50,0,Public
81,0,Public
206,0,Public
35,0,Public
92,0,Public
53,0,Public
242,0,Public
14,0,Public
89,0,Public
167,0,Public
295,0,Public
135,0,Public
288,0,Public
244,1,Public
55,0,Private
51,0,Private
175,0,Private
190,0,Private
299,0,Private
188,0,Private
170,0,Private
59,0,Private
49,0,Private
236,0,Private
253,0,Private
22,0,Private
161,0,Private
277,0,Private
192,0,Private
258,0,Private
150,1,Private
131,0,Private
152,0,Private
100,0,Private
88,0,Private
215,0,Private
122,0,Private
300,0,Private
21,0,Private
189,0,Private
72,0,Private
107,0,Private
271,0,Private
103,0,Private
