pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสนักศึกษา ⭐,1,1.0,,0.0,0,8,0,1,8
vlm,คำนำหน้า/ชื่อ ⭐,2,1.0,,0.0,0,24,0,2,24
vlm,สถาบัน/ที่อยู่,2,1.0,,0.0,0,90,0,2,90
vlm,คณะ/หลักสูตร,4,1.0,,0.25,0,80,0,3,80
vlm,วันที่,3,1.0,,0.0,0,30,0,3,30
vlm,สถานะ/เกียรตินิยม,2,1.0,,0.0,0,19,0,2,19
vlm,รหัสวิชา,12,1.0,,0.0,0,96,0,12,96
vlm,ชื่อวิชา,12,1.0,,0.0,0,210,0,12,210
vlm,ประเภทวิชา,12,0.0,,1.0,0,0,0,0,0
vlm,หน่วยกิต,12,1.0,,0.0,0,12,0,12,12
vlm,เกรด ⭐,12,1.0,,0.0,0,16,0,12,16
vlm,สรุปผลการศึกษา,5,1.0,,0.6,0,6,0,2,6
vlm,ผู้รับรองท้ายเอกสาร,4,1.0,,0.0,0,83,0,4,83
