gt_name,program,source_pages,question,answer,answer_page,regulation_clause
program_name_th,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,ชื่อหลักสูตรภาษาไทยคืออะไร,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,1,
program_name_en,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,ชื่อหลักสูตรภาษาอังกฤษคืออะไร,Bachelor of Science Program in Data Science and Business Analytics,1,
degree_full_th,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,ชื่อปริญญาเต็มภาษาไทยคืออะไร,วิทยาศาสตรบัณฑิต (วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,
degree_abbr_en,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,ชื่อย่อปริญญาภาษาอังกฤษคืออะไร,B.Sc. (Data Science and Business Analytics),1,
program_field,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,หลักสูตรนี้จัดอยู่ในสาขาวิชาใดตามมาตรฐานคุณวุฒิ,สาขาคอมพิวเตอร์ (สาขาวิชาเทคโนโลยีสารสนเทศ) อ้างอิงตาม มคอ.1 สาขาคอมพิวเตอร์,1,
total_credits,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),1,จำนวนหน่วยกิตรวมตลอดหลักสูตรเท่าไร,132 หน่วยกิต,1,
program_format,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),2,หลักสูตรนี้เป็นหลักสูตรกี่ปีและประเภทใด,หลักสูตรปริญญาตรี 4 ปี ทางวิชาการ,2,
program_language,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),2,หลักสูตรจัดการศึกษาด้วยภาษาใด,จัดการศึกษาเป็นภาษาไทยและภาษาอังกฤษ,2,
start_term,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),2,หลักสูตรปรับปรุงนี้กำหนดเปิดสอนเมื่อใด,เปิดสอนเดือนสิงหาคม พ.ศ. 2565,2,
careers,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),2-3,อาชีพที่ประกอบได้หลังสำเร็จการศึกษามีอะไรบ้าง,"Data Scientist / Data Analyst (BI Specialist, BI Analyst, BI Developer, Business Insight Data Developer) / Data Engineer (Data Warehouse Developer) / Machine Learning Engineer / Data Modeler",2-3,
responsible_instructors,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),3,อาจารย์ผู้รับผิดชอบหลักสูตรมีกี่คนและใครบ้าง,"มี 5 คน: รศ.ดร.กิติ์สุชาต พสุภา, ผศ.ดร.โอฬาร วงศ์วิรัตน์, ผศ.ดร.กนกวรรณ อัจฉริยะชาญวณิช, ดร.ชยานนท์ ทรัพย์อาภา, อ.วารุณี บัววิรัตน์",3,
teaching_location,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),4,สถานที่จัดการเรียนการสอนอยู่ที่ใด,ในสถานที่ตั้งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,4,
academic_system,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),11,หลักสูตรใช้ระบบการศึกษาแบบใด,ระบบทวิภาค 1 ปีการศึกษาแบ่งเป็น 2 ภาคปกติ แต่ละภาคปกติมีระยะเวลาไม่น้อยกว่า 15 สัปดาห์,11,ข้อ 6
